t (s);x (m);y (m)
4.20E+00;2.99E+00;1.76E+00
4.23E+00;3.78E+00;2.15E+00
4.27E+00;4.70E+00;2.61E+00
4.30E+00;5.48E+00;3.01E+00
4.33E+00;6.40E+00;3.46E+00
4.37E+00;7.21E+00;3.92E+00
4.40E+00;8.07E+00;4.37E+00
4.43E+00;8.90E+00;4.75E+00
4.47E+00;9.69E+00;5.13E+00
4.50E+00;1.05E+01;5.55E+00
4.53E+00;1.13E+01;5.90E+00
4.57E+00;1.21E+01;6.25E+00
4.60E+00;1.29E+01;6.56E+00
4.63E+00;1.37E+01;6.92E+00
4.67E+00;1.44E+01;7.27E+00
4.70E+00;1.51E+01;7.55E+00
4.73E+00;1.59E+01;7.84E+00
4.77E+00;1.65E+01;8.13E+00
4.80E+00;1.73E+01;8.38E+00
4.83E+00;1.79E+01;8.64E+00
4.87E+00;1.86E+01;8.89E+00
4.90E+00;1.93E+01;9.11E+00
4.93E+00;2.00E+01;9.34E+00
4.97E+00;2.06E+01;9.56E+00
5.00E+00;2.12E+01;9.72E+00
5.03E+00;2.19E+01;9.94E+00
5.07E+00;2.24E+01;1.01E+01
5.10E+00;2.30E+01;1.03E+01
5.13E+00;2.37E+01;1.05E+01
5.17E+00;2.42E+01;1.05E+01
5.20E+00;2.48E+01;1.07E+01
5.23E+00;2.53E+01;1.07E+01
5.27E+00;2.59E+01;1.08E+01
5.30E+00;2.64E+01;1.09E+01
5.33E+00;2.69E+01;1.10E+01
5.37E+00;2.75E+01;1.11E+01
5.40E+00;2.80E+01;1.12E+01
5.43E+00;2.85E+01;1.12E+01
5.47E+00;2.89E+01;1.13E+01
5.50E+00;2.94E+01;1.13E+01
5.53E+00;2.99E+01;1.13E+01
5.57E+00;3.04E+01;1.14E+01
5.60E+00;3.09E+01;1.15E+01
5.63E+00;3.14E+01;1.14E+01
5.67E+00;3.18E+01;1.14E+01
5.70E+00;3.22E+01;1.14E+01
5.73E+00;3.27E+01;1.14E+01
5.77E+00;3.31E+01;1.14E+01
5.80E+00;3.36E+01;1.14E+01
5.83E+00;3.40E+01;1.13E+01
5.87E+00;3.44E+01;1.13E+01
5.90E+00;3.48E+01;1.12E+01
5.93E+00;3.52E+01;1.12E+01
5.97E+00;3.56E+01;1.11E+01
6.00E+00;3.60E+01;1.10E+01
6.03E+00;3.64E+01;1.09E+01
6.07E+00;3.68E+01;1.08E+01
6.10E+00;3.72E+01;1.07E+01
6.13E+00;3.76E+01;1.06E+01
6.17E+00;3.80E+01;1.05E+01
6.20E+00;3.84E+01;1.04E+01
6.23E+00;3.88E+01;1.03E+01
6.27E+00;3.91E+01;1.01E+01
6.30E+00;3.95E+01;9.94E+00
6.33E+00;3.99E+01;9.78E+00
6.37E+00;4.03E+01;9.59E+00
6.40E+00;4.06E+01;9.46E+00
6.43E+00;4.10E+01;9.27E+00
6.47E+00;4.13E+01;9.05E+00
6.50E+00;4.17E+01;8.92E+00
6.53E+00;4.20E+01;8.70E+00
6.57E+00;4.24E+01;8.48E+00
6.60E+00;4.28E+01;8.29E+00
6.63E+00;4.31E+01;8.06E+00
6.67E+00;4.34E+01;7.87E+00
6.70E+00;4.38E+01;7.62E+00
6.73E+00;4.41E+01;7.39E+00
6.77E+00;4.44E+01;7.14E+00
6.80E+00;4.48E+01;6.88E+00
6.83E+00;4.51E+01;6.63E+00
6.87E+00;4.54E+01;6.37E+00
6.90E+00;4.58E+01;6.09E+00
6.93E+00;4.61E+01;5.80E+00
6.97E+00;4.64E+01;5.55E+00
7.00E+00;4.67E+01;5.26E+00
7.03E+00;4.70E+01;4.97E+00
7.07E+00;4.74E+01;4.62E+00
7.10E+00;4.76E+01;4.33E+00
7.13E+00;4.80E+01;4.05E+00
7.17E+00;4.83E+01;3.79E+00
7.20E+00;4.86E+01;3.44E+00
7.23E+00;4.89E+01;3.12E+00
7.27E+00;4.92E+01;2.84E+00
7.30E+00;4.95E+01;2.49E+00
7.33E+00;4.98E+01;2.14E+00
