t,222Rn,218Po,214Bi,214Pb,214Po,210Pb,
(s),,x1000,x100,x100,x1e8,
0.0,474000000.0,0.0,0.0,0.0,0.0,0.0,
50505.1,426060505.2,241508816.4,209815873.7,155576159.5,21214930.8,44044018.3,
101010.1,382969523.5,217083055.6,188595479.6,139841471.6,19069291.6,87528825.0,
151515.2,344236684.9,195127671.6,169521277.0,125698160.4,17140658.2,126615547.9,
202020.2,309421215.0,175392815.1,152376204.5,112985277.9,15407083.4,161749001.0,
252525.3,278126918.2,157653906.0,136965153.4,101558153.2,13848839.1,193329011.0,
303030.3,249997669.4,141709077.7,123112747.8,91286747.0,12448192.8,221714966.5,
353535.4,224713361.5,127376880.3,110661349.2,82054172.0,11189205.3,247229908.4,
404040.4,201986262.4,114494215.2,99469262.4,73755362.9,10057549.5,270164205.8,
454545.5,181557740.6,102914479.3,89409122.8,66295880.1,9040347.3,290778860.3,
505050.5,163195322.2,92505896.8,80366447.4,59590835.9,8126023.1,309308476.4,
555555.6,146690045.3,83150019.3,72238331.6,53563927.5,7304171.9,325963931.1,
606060.6,131854082.0,74740378.2,64932278.7,48146569.7,6565441.3,340934773.5,
656565.7,118518601.0,67181272.9,58365146.7,43277113.6,5901424.6,354391382.4,
707070.7,106531846.3,60386681.7,52462202.4,38900145.4,5304565.3,366486904.5,
757575.8,95757410.1,54279283.1,47156271.1,34965855.8,4768071.3,377358997.6,
808080.8,86072680.8,48789575.7,42386972.1,31429473.1,4285837.2,387131397.2,
858585.9,77367447.5,43855087.3,38100031.4,28250753.8,3852375.5,395915324.1,
909090.9,69542645.4,39419664.1,34246663.9,25393524.2,3462753.3,403810750.9,
959596.0,62509229.8,35432831.5,30783019.2,22825269.8,3112536.8,410907538.5,
1010101.0,56187161.0,31849220.0,27669681.1,20516763.9,2797740.5,417286460.1,
1060606.1,50504494.6,28628048.3,24871220.3,18441736.0,2514782.2,423020119.5,
1111111.1,45396562.7,25732660.0,22355790.7,16576572.7,2260441.7,428173777.1,
1161616.2,40805237.7,23130106.0,20094767.1,14900048.5,2031824.8,432806093.5,
1212121.2,36678270.8,20790769.5,18062419.2,13393085.0,1826329.8,436969795.9,
1262626.3,32968697.8,18688029.3,16235619.3,12038532.9,1641618.1,440712279.3,
1313131.3,29634304.2,16797956.3,14593578.5,10820977.8,1475587.9,444076144.9,
1363636.4,26637145.0,15099041.8,13117610.8,9726563.9,1326349.6,447099685.5,
1414141.4,23943113.1,13571952.4,11790919.7,8742837.1,1192205.1,449817320.8,
1464646.5,21521550.5,12199310.0,10598407.7,7858602.6,1071627.6,452259989.6,
1515151.5,19344900.4,10965494.2,9526504.2,7063798.0,963245.2,454455501.5,
1565656.6,17388392.7,9856464.2,8563011.0,6349378.4,865824.3,456428853.5,
1616161.6,15629762.5,8859599.5,7696963.8,5707213.9,778256.4,458202514.4,
1666666.7,14048997.0,7963555.9,6918507.0,5129996.8,699545.0,459796680.7,
1717171.7,12628107.2,7158136.5,6218781.9,4611158.3,628794.3,461229506.0,
1767676.8,11350923.6,6434175.7,5589825.7,4144794.2,565199.2,462517308.1,
1818181.8,10202912.0,5783434.9,5024481.0,3725597.3,508036.0,463674754.5,
1868686.9,9171008.2,5198508.9,4516314.2,3348797.3,456654.2,464715028.9,
1919191.9,8243469.3,4672741.3,4059542.5,3010106.0,410469.0,465649982.0,
1969697.0,7409739.9,4200148.8,3648967.8,2705669.4,368954.9,466490265.9,
2020202.0,6660332.4,3775353.5,3279917.9,2432023.0,331639.5,467245455.1,
2070707.1,5986718.6,3393521.1,2948193.0,2186052.7,298098.1,467924155.9,
2121212.1,5381232.9,3050306.6,2650018.2,1964959.3,267949.0,468534104.4,
2171717.2,4836984.9,2741804.2,2382000.2,1766226.9,240849.1,469082253.9,
2222222.2,4347781.1,2464503.2,2141089.1,1587594.0,216490.1,469574854.7,
2272727.3,3908054.5,2215247.8,1924543.2,1427027.6,194594.7,470017524.9,
2323232.3,3512801.0,1991201.7,1729898.5,1282700.7,174913.7,470415314.4,
2373737.4,3157522.8,1789815.2,1554939.7,1152970.7,157223.3,470772762.3,
2424242.4,2838176.7,1608796.6,1397676.0,1036361.3,141322.0,471093948.8,
2474747.5,2551128.7,1446085.9,1256317.6,931545.7,127029.0,471382541.1,
2525252.5,2293112.2,1299831.4,1129255.9,837330.8,114181.5,471641835.9,
2575757.6,2061191.1,1168368.8,1015045.1,752644.7,102633.4,471874796.3,
2626262.6,1852726.0,1050202.2,912385.3,676523.6,92253.2,472084085.6,
2676767.7,1665344.7,943986.6,820108.3,608101.3,82922.9,472272097.9,
2727272.7,1496914.8,848513.6,737164.0,546599.0,74536.2,472440985.1,
2777777.8,1345519.6,762696.5,662608.6,491317.0,66997.8,472592681.5,
2828282.8,1209436.2,685558.7,595593.6,441626.1,60221.7,472728925.7,
2878787.9,1087116.0,616222.6,535356.4,396960.8,54131.0,472851280.6,
2929292.9,977167.1,553899.0,481211.4,356813.0,48656.3,472961150.9,
2979798.0,878338.2,497878.6,432542.6,320725.5,43735.3,473059799.2,
3030303.0,789504.7,447524.1,388796.0,288288.0,39312.0,473148360.6,
3080808.1,709655.6,402262.3,349473.9,259131.0,35336.1,473227855.2,
3131313.1,637882.4,361578.3,314128.7,232923.0,31762.2,473299199.9,
3181818.2,573368.1,325008.9,282358.3,209365.6,28549.9,473363219.2,
3232323.2,515378.7,292138.1,253801.1,188190.7,25662.4,473420653.7,
3282828.3,463254.3,262591.8,228132.1,169157.5,23066.9,473472169.6,
3333333.3,416401.6,236033.7,205059.3,152049.2,20734.0,473518365.5,
3383838.4,374287.5,212161.7,184320.0,136671.2,18637.0,473559779.2,
3434343.4,336432.7,190704.1,165678.2,122848.5,16752.1,473596894.7,
3484848.5,302406.5,171416.6,148921.8,110423.9,15057.8,473630146.4,
3535353.5,271821.7,154079.8,133860.1,99255.8,13534.9,473659925.3,
3585858.6,244330.2,138496.5,120321.7,89217.3,12166.0,473686582.6,
3636363.6,219619.1,124489.2,108152.6,80194.0,10935.5,473710433.9,
3686868.7,197407.2,111898.6,97214.3,72083.3,9829.5,473731763.1,
3737373.7,177441.8,100581.4,87382.2,64792.9,8835.4,473750825.2,
3787878.8,159495.6,90408.8,78544.5,58239.9,7941.8,473767849.6,
3838383.8,143364.5,81265.0,70600.7,52349.6,7138.6,473783042.3,
3888888.9,128864.9,73046.0,63460.3,47055.1,6416.6,473796588.6,
3939393.9,115831.8,65658.3,57042.0,42296.0,5767.6,473808655.0,
3989899.0,104116.7,59017.7,51272.9,38018.3,5184.3,473819391.1,
4040404.0,93586.6,53048.8,46087.2,34173.2,4660.0,473828931.6,
4090909.1,84121.4,47683.5,41426.1,30717.0,4188.7,473837397.3,
4141414.1,75613.5,42860.9,37236.3,27610.3,3765.0,473844896.9,
4191919.2,67966.1,38526.0,33470.3,24817.8,3384.3,473851528.2,
4242424.2,61092.1,34629.6,30085.2,22307.8,3042.0,473857378.9,
4292929.3,54913.4,31127.2,27042.4,20051.6,2734.3,473862528.1,
4343434.3,49359.5,27979.0,24307.4,18023.7,2457.8,473867046.6,
4393939.4,44367.4,25149.3,21849.0,16200.8,2209.2,473870998.3,
4444444.4,39880.2,22605.7,19639.2,14562.3,1985.8,473874440.5,
4494949.5,35846.8,20319.4,17652.9,13089.5,1784.9,473877424.6,
4545454.5,32221.3,18264.4,15867.6,11765.6,1604.4,473879997.1,
4595959.6,28962.5,16417.1,14262.7,10575.7,1442.1,473882199.6,
4646464.6,26033.3,14756.7,12820.2,9506.1,1296.3,473884069.5,
4696969.7,23400.3,13264.3,11523.6,8544.6,1165.2,473885640.4,
4747474.7,21033.7,11922.7,10358.1,7680.4,1047.3,473886942.5,
4797979.8,18906.3,10716.9,9310.5,6903.7,941.4,473888003.1,
4848484.8,16994.2,9633.0,8368.9,6205.4,846.2,473888846.6,
4898989.9,15275.4,8658.8,7522.5,5577.8,760.6,473889495.0,
4949494.9,13730.5,7783.0,6761.7,5013.7,683.7,473889967.9,
5000000.0,12341.8,6995.9,6077.8,4506.6,614.5,473890283.1,
