measure,T
1,1.86
2,1.91
3,1.71
4,1.84
5,1.72
6,1.91
7,1.71
8,1.91
9,1.85
10,1.78
11,1.85
12,1.70
13,1.64
14,1.84
15,1.78
16,1.98
17,1.91
18,1.92
19,1.85
20,1.65
21,1.92
22,1.72
23,1.83
24,1.85
25,1.77
26,1.77
27,1.84
28,1.72
29,1.85
30,1.78
31,1.78
32,1.71
33,1.92
34,1.78
35,1.79
36,1.83
37,1.91
38,1.72
39,1.83
40,1.85
41,1.85
42,1.78
43,1.71
44,1.77
45,1.77
46,1.77
47,1.78
48,1.71
49,1.72
50,1.91
51,1.65
52,1.72
53,1.51
54,1.71
55,1.77
56,1.71
57,1.77
58,1.71
59,1.71
60,1.72
61,1.71
62,1.90
63,1.78
64,1.78
65,1.78
66,1.71
67,1.79
68,1.77
69,1.78
70,1.78
71,1.86
72,1.78
73,1.85
74,1.91
75,1.85
76,1.92
77,1.85
78,1.77
79,1.79
80,1.85
81,1.71
82,1.98
83,1.78
84,1.85
85,1.90
86,1.98
87,1.77
88,1.85
89,1.77
90,1.71
91,1.79
92,1.84
93,1.78
94,1.91
95,1.72
96,1.77
97,1.85
98,1.71
99,1.91
100,1.92
101,1.85
102,1.85
103,1.84
