C.D.S.  -  SIMBAD4 rel 1.8  -  2024.02.16CET12:23:02

coord 194.87996 27.96504 (FK5, 2000, 2000), radius: 30 arcmin
-------------------------------------------------------------

Number of objects : 3634

 #  |dist(asec)|             identifier              |typ|       coord1 (ICRS,J2000/2000)        |  redshift  |  Mag B  |         morph. type         |       ang. size       
----|----------|-------------------------------------|---|---------------------------------------|------------|---------|-----------------------------|-----------------------
1   |      8.85|[MGH2010] J125931.05+275802.8        |G? |12 59 31.05 +27 58 02.8                |~           |     ~   |~ ~ ~                        |    ~     ~            
2   |      9.02|[CTM2010] 190797                     |G  |12 59 31.7 +27 57 48                   |0.02955     |     ~   |dE D 2010ApJ...723..251C     |    ~     ~            
3   |     16.76|SDSS J125930.82+275810.1             |G  |12 59 30.823 +27 58 10.19              |~           |     ~   |~ ~ ~                        |    ~     ~            
4   |     20.77|[MGH2010] J125932.33+275808.4        |G? |12 59 32.33 +27 58 08.4                |~           |     ~   |~ ~ ~                        |    ~     ~            
5   |     23.09|[HVH2010] Comai J125932.883+275800.05|G  |12 59 32.9 +27 58 00                   |~           |     ~   |~ ~ ~                        |    ~     ~            
6   |     32.74|RSCG 67                              |CGG|12 59 32.732 +27 57 28.57              |0.024000    |24.54    |~ ~ ~                        | 0.6   0.6             
7   |     34.98|NGC 4871                             |AGN|12 59 29.9631023208 +27 57 23.169658968|0.02267     |15.1     |SB0 D 2014MNRAS.439.1749L    | 0.98  0.59            
8   |     35.77|ECO 11254                            |G  |12 59 31.10 +27 57 18.4                |0.0236      |18.295   |dGs... D 2008A&A...490..923M |    ~     ~            
9   |     39.17|SN 1968B                             |SN*|12 59 34.0 +27 57 42                   |~           |17.4     |~ ~ ~                        |    ~     ~            
10  |     41.76|[MGH2010] J125931.23+275835.9        |G? |12 59 31.23 +27 58 35.9                |~           |     ~   |~ ~ ~                        |    ~     ~            
11  |     42.48|[CTM2010] 191006                     |G  |12 59 32.7534 +27 58 31.239            |0.02480     |     ~   |~ ~ ~                        |    ~     ~            
12  |     46.93|[MGH2010] J125930.74+275707.6        |G? |12 59 30.74 +27 57 07.6                |~           |     ~   |~ ~ ~                        |    ~     ~            
13  |     49.14|[MGH2010] J125933.60+275716.8        |G? |12 59 33.60 +27 57 16.8                |~           |     ~   |~ ~ ~                        |    ~     ~            
14  |     49.68|[ZS2020] cCGs-5248                   |CGG|12 59 32.0 +27 57 06                   |0.02343     |     ~   |~ ~ ~                        |1.084 1.084            
15  |     56.37|[MGH2010] J125928.25+275713.4        |G? |12 59 28.25 +27 57 13.4                |~           |     ~   |~ ~ ~                        |    ~     ~            
16  |     56.65|[MGH2010] J125935.25+275736.4        |G? |12 59 35.25 +27 57 36.4                |~           |     ~   |~ ~ ~                        |    ~     ~            
17  |     57.40|GMP 3364                             |G  |12 59 33.0 +27 57 02                   |~           |     ~   |~ ~ ~                        |    ~     ~            
18  |     58.40|[MGH2010] J125935.31+275814.9        |G? |12 59 35.31 +27 58 14.9                |~           |     ~   |~ ~ ~                        |    ~     ~            
19  |     58.97|[YKK2016] 369                        |LSB|12 59 29.198 +27 58 46.89              |~           |22.37    |~ ~ ~                        |0.212 0.212            
20  |     60.90|[MGH2010] J125935.62+275810.4        |G? |12 59 35.62 +27 58 10.4                |~           |     ~   |~ ~ ~                        |    ~     ~            
21  |     63.41|NGC 4874                             |LIN|12 59 35.7093764280 +27 57 33.293892204|0.02391     |13.7     |E0A C 2015A&A...576A.135G    |1.330 1.197            
22  |     65.20|[CTM2010] 192636                     |G  |12 59 36.0394 +27 58 05.202            |0.02311     |     ~   |~ ~ ~                        |    ~     ~            
23  |     66.24|[MGH2010] J125935.88+275817.1        |G? |12 59 35.88 +27 58 17.1                |~           |     ~   |~ ~ ~                        |    ~     ~            
24  |     67.03|[DZ2015b] 708                        |GrG|12 59 35.3 +27 58 34                   |0.015869    |     ~   |~ ~ ~                        |    ~     ~            
25  |     67.43|[MGH2010] J125935.03+275838.4        |G? |12 59 35.03 +27 58 38.4                |~           |     ~   |~ ~ ~                        |    ~     ~            
26  |     68.88|GMP 3480                             |G  |12 59 26.0 +27 57 50                   |~           |     ~   |~ ~ ~                        |    ~     ~            
27  |     70.18|NGC 4873                             |EmG|12 59 32.7956813376 +27 59 01.023698256|0.01943     |15.4     |S0 D 2014MNRAS.439.1749L     |0.403 0.339            
28  |     70.34|GMP 3394                             |G  |12 59 30.8 +27 56 44                   |2.2745      |     ~   |~ ~ ~                        |    ~     ~            
29  |     75.36|[CG99] SA1656-21                     |GrG|12 59 26.0 +27 58 25                   |~           |20.34    |~ ~ ~                        |    ~     ~            
30  |     75.51|SN 1981G                             |SN*|12 59 36.83 +27 57 43.3                |~           |15.0     |~ ~ ~                        |    ~     ~            
31  |     75.56|GMP 3426                             |G  |12 59 29.216 +27 56 43.26              |0.0189      |21.47    |~ ~ ~                        |    ~     ~            
32  |     76.12|NGC 4872                             |AGN|12 59 34.1212116072 +27 56 48.678716616|0.02395     |14.7     |SB0 D 2014MNRAS.439.1749L    | 0.57  0.40            
33  |     77.58|[CTM2010] 192254                     |G  |12 59 35.23 +27 58 50.3                |0.0245      |     ~   |dE D 2010ApJ...723..251C     |    ~     ~            
34  |     78.32|2MASX J12592529+2758048              |GiC|12 59 25.3302921888 +27 58 04.567089792|0.02571     |17.055   |S... D 2008A&A...490..923M   |0.300 0.174            
35  |     80.50|[EDG2007] 561                        |G  |12 59 27.60 +27 58 59.1                |~           |     ~   |~ ~ ~                        |    ~     ~            
