measure,pos_screen (mm),intensity
0, 0.000, 73.0
1, 0.014, 30.0
2, 0.028, 43.0
3, 0.042, 52.0
4, 0.056, 35.0
5, 0.070, 66.0
6, 0.084, 48.0
7, 0.098, 69.0
8, 0.112, 37.0
9, 0.126, 53.0
10, 0.140, 53.0
11, 0.154, 39.0
12, 0.168, 75.0
13, 0.182, 46.0
14, 0.196, 50.0
15, 0.210, 42.0
16, 0.224, 46.0
17, 0.238, 65.0
18, 0.252, 32.0
19, 0.266, 57.0
20, 0.280, 39.0
21, 0.294, 45.0
22, 0.308, 49.0
23, 0.322, 38.0
24, 0.336, 75.0
25, 0.350, 36.0
26, 0.364, 72.0
27, 0.378, 36.0
28, 0.392, 40.0
29, 0.406, 65.0
30, 0.420, 40.0
31, 0.434, 60.0
32, 0.448, 46.0
33, 0.462, 66.0
34, 0.476, 52.0
35, 0.490, 46.0
36, 0.504, 83.0
37, 0.518, 50.0
38, 0.532, 67.0
39, 0.546, 55.0
40, 0.560, 55.0
41, 0.574, 76.0
42, 0.588, 59.0
43, 0.602, 78.0
44, 0.616, 60.0
45, 0.630, 74.0
46, 0.644, 60.0
47, 0.658, 32.0
48, 0.672, 84.0
49, 0.686, 46.0
50, 0.700, 67.0
51, 0.714, 61.0
52, 0.728, 70.0
53, 0.742, 66.0
54, 0.756, 66.0
55, 0.770, 92.0
56, 0.784, 51.0
57, 0.798, 61.0
58, 0.812, 61.0
59, 0.826, 54.0
60, 0.840, 94.0
61, 0.854, 71.0
62, 0.868, 81.0
63, 0.882, 61.0
64, 0.896, 67.0
65, 0.910, 85.0
66, 0.924, 68.0
67, 0.938, 97.0
68, 0.952, 59.0
69, 0.966, 85.0
70, 0.980, 90.0
71, 0.994, 64.0
72, 1.008, 89.0
73, 1.022, 94.0
74, 1.036, 85.0
75, 1.050, 93.0
76, 1.064, 86.0
77, 1.078, 106.0
78, 1.092, 76.0
79, 1.106, 115.0
80, 1.120, 93.0
81, 1.134, 98.0
82, 1.148, 90.0
83, 1.162, 86.0
84, 1.176, 98.0
85, 1.190, 99.0
86, 1.204, 113.0
87, 1.218, 100.0
88, 1.232, 94.0
89, 1.246, 95.0
90, 1.260, 90.0
91, 1.274, 107.0
92, 1.288, 77.0
93, 1.302, 103.0
94, 1.316, 101.0
95, 1.330, 84.0
96, 1.344, 107.0
97, 1.358, 100.0
98, 1.372, 117.0
99, 1.386, 87.0
100, 1.400, 95.0
101, 1.414, 117.0
102, 1.428, 91.0
103, 1.442, 124.0
104, 1.456, 96.0
105, 1.470, 113.0
106, 1.484, 99.0
107, 1.498, 99.0
108, 1.512, 121.0
109, 1.526, 105.0
110, 1.540, 152.0
111, 1.554, 111.0
112, 1.568, 128.0
113, 1.582, 133.0
114, 1.596, 130.0
115, 1.610, 150.0
116, 1.624, 139.0
117, 1.638, 164.0
118, 1.652, 156.0
119, 1.666, 137.0
120, 1.680, 158.0
121, 1.694, 144.0
122, 1.708, 172.0
123, 1.722, 143.0
124, 1.736, 171.0
125, 1.750, 165.0
126, 1.764, 142.0
127, 1.778, 165.0
128, 1.792, 139.0
129, 1.806, 160.0
130, 1.820, 133.0
131, 1.834, 151.0
132, 1.848, 135.0
133, 1.862, 143.0
134, 1.876, 150.0
135, 1.890, 126.0
136, 1.904, 144.0
137, 1.918, 130.0
138, 1.932, 136.0
139, 1.946, 141.0
140, 1.960, 120.0
141, 1.974, 145.0
142, 1.988, 135.0
143, 2.002, 127.0
144, 2.016, 160.0
145, 2.030, 122.0
146, 2.044, 165.0
147, 2.058, 137.0
148, 2.072, 159.0
149, 2.086, 177.0
150, 2.100, 153.0
151, 2.114, 170.0
152, 2.128, 175.0
153, 2.142, 204.0
154, 2.156, 180.0
155, 2.170, 188.0
156, 2.184, 204.0
157, 2.198, 195.0
158, 2.212, 229.0
159, 2.226, 203.0
160, 2.240, 222.0
161, 2.254, 215.0
162, 2.268, 215.0
163, 2.282, 230.0
164, 2.296, 200.0
165, 2.310, 245.0
166, 2.324, 203.0
167, 2.338, 208.0
168, 2.352, 226.0
169, 2.366, 211.0
170, 2.380, 207.0
171, 2.394, 190.0
172, 2.408, 219.0
173, 2.422, 172.0
174, 2.436, 206.0
175, 2.450, 203.0
176, 2.464, 177.0
177, 2.478, 206.0
178, 2.492, 174.0
179, 2.506, 173.0
180, 2.520, 180.0
181, 2.534, 169.0
182, 2.548, 209.0
183, 2.562, 175.0
184, 2.576, 207.0
185, 2.590, 180.0
186, 2.604, 186.0
187, 2.618, 210.0
188, 2.632, 188.0
189, 2.646, 241.0
190, 2.660, 202.0
191, 2.674, 222.0
192, 2.688, 231.0
193, 2.702, 240.0
194, 2.716, 257.0
195, 2.730, 247.0
