measure,pos_screen (mm),intensity
0, 0.000, 69.0
1, 0.014, 36.0
2, 0.028, 42.0
3, 0.042, 60.0
4, 0.056, 34.0
5, 0.070, 72.0
6, 0.084, 46.0
7, 0.098, 72.0
8, 0.112, 55.0
9, 0.126, 44.0
10, 0.140, 59.0
11, 0.154, 26.0
12, 0.168, 76.0
13, 0.182, 35.0
14, 0.196, 47.0
15, 0.210, 44.0
16, 0.224, 45.0
17, 0.238, 69.0
18, 0.252, 39.0
19, 0.266, 61.0
20, 0.280, 52.0
21, 0.294, 35.0
22, 0.308, 46.0
23, 0.322, 39.0
24, 0.336, 63.0
25, 0.350, 42.0
26, 0.364, 56.0
27, 0.378, 43.0
28, 0.392, 35.0
29, 0.406, 67.0
30, 0.420, 55.0
31, 0.434, 65.0
32, 0.448, 42.0
33, 0.462, 57.0
34, 0.476, 52.0
35, 0.490, 54.0
36, 0.504, 73.0
37, 0.518, 65.0
38, 0.532, 65.0
39, 0.546, 59.0
40, 0.560, 42.0
41, 0.574, 81.0
42, 0.588, 55.0
43, 0.602, 81.0
44, 0.616, 67.0
45, 0.630, 71.0
46, 0.644, 57.0
47, 0.658, 44.0
48, 0.672, 78.0
49, 0.686, 48.0
50, 0.700, 70.0
51, 0.714, 62.0
52, 0.728, 61.0
53, 0.742, 70.0
54, 0.756, 67.0
55, 0.770, 75.0
56, 0.784, 50.0
57, 0.798, 69.0
58, 0.812, 60.0
59, 0.826, 60.0
60, 0.840, 89.0
61, 0.854, 72.0
62, 0.868, 76.0
63, 0.882, 60.0
64, 0.896, 55.0
65, 0.910, 73.0
66, 0.924, 73.0
67, 0.938, 101.0
68, 0.952, 59.0
69, 0.966, 81.0
70, 0.980, 82.0
71, 0.994, 71.0
72, 1.008, 85.0
73, 1.022, 71.0
74, 1.036, 92.0
75, 1.050, 80.0
76, 1.064, 95.0
77, 1.078, 94.0
78, 1.092, 82.0
79, 1.106, 119.0
80, 1.120, 97.0
81, 1.134, 107.0
82, 1.148, 93.0
83, 1.162, 78.0
84, 1.176, 110.0
85, 1.190, 111.0
86, 1.204, 127.0
87, 1.218, 95.0
88, 1.232, 92.0
89, 1.246, 113.0
90, 1.260, 80.0
91, 1.274, 110.0
92, 1.288, 89.0
93, 1.302, 110.0
94, 1.316, 93.0
95, 1.330, 81.0
96, 1.344, 110.0
97, 1.358, 104.0
98, 1.372, 105.0
99, 1.386, 83.0
100, 1.400, 100.0
101, 1.414, 110.0
102, 1.428, 86.0
103, 1.442, 126.0
104, 1.456, 98.0
105, 1.470, 129.0
106, 1.484, 113.0
107, 1.498, 97.0
108, 1.512, 124.0
109, 1.526, 96.0
110, 1.540, 134.0
111, 1.554, 126.0
112, 1.568, 122.0
113, 1.582, 139.0
114, 1.596, 131.0
115, 1.610, 157.0
116, 1.624, 132.0
117, 1.638, 185.0
118, 1.652, 158.0
119, 1.666, 136.0
120, 1.680, 169.0
121, 1.694, 133.0
122, 1.708, 164.0
123, 1.722, 153.0
124, 1.736, 157.0
125, 1.750, 165.0
126, 1.764, 137.0
127, 1.778, 159.0
128, 1.792, 148.0
129, 1.806, 149.0
130, 1.820, 138.0
131, 1.834, 142.0
132, 1.848, 131.0
133, 1.862, 123.0
134, 1.876, 160.0
135, 1.890, 138.0
136, 1.904, 155.0
137, 1.918, 129.0
138, 1.932, 134.0
139, 1.946, 157.0
140, 1.960, 132.0
141, 1.974, 142.0
142, 1.988, 128.0
143, 2.002, 136.0
144, 2.016, 155.0
145, 2.030, 132.0
146, 2.044, 187.0
147, 2.058, 146.0
148, 2.072, 171.0
149, 2.086, 166.0
150, 2.100, 156.0
151, 2.114, 175.0
152, 2.128, 173.0
153, 2.142, 218.0
154, 2.156, 187.0
155, 2.170, 203.0
156, 2.184, 221.0
157, 2.198, 189.0
158, 2.212, 222.0
159, 2.226, 196.0
160, 2.240, 225.0
161, 2.254, 203.0
162, 2.268, 209.0
163, 2.282, 221.0
164, 2.296, 203.0
165, 2.310, 241.0
166, 2.324, 216.0
167, 2.338, 200.0
168, 2.352, 212.0
169, 2.366, 198.0
170, 2.380, 213.0
171, 2.394, 195.0
172, 2.408, 198.0
173, 2.422, 201.0
174, 2.436, 182.0
175, 2.450, 188.0
176, 2.464, 183.0
177, 2.478, 210.0
178, 2.492, 169.0
179, 2.506, 186.0
180, 2.520, 170.0
181, 2.534, 177.0
182, 2.548, 194.0
183, 2.562, 183.0
184, 2.576, 211.0
185, 2.590, 166.0
186, 2.604, 194.0
187, 2.618, 195.0
188, 2.632, 203.0
189, 2.646, 239.0
190, 2.660, 217.0
191, 2.674, 228.0
192, 2.688, 238.0
193, 2.702, 248.0
194, 2.716, 250.0
195, 2.730, 262.0
196, 2.744, 279.0
197, 2.758, 265.0
198, 2.772, 266.0
199, 2.786, 292.0
200, 2.800, 276.0
201, 2.814, 314.0
202, 2.828, 305.0
203, 2.842, 293.0
204, 2.856, 310.0
205, 2.870, 300.0
206, 2.884, 306.0
207, 2.898, 291.0
208, 2.912, 304.0
209, 2.926, 276.0
210, 2.940, 305.0
211, 2.954, 304.0
212, 2.968, 271.0
213, 2.982, 294.0
214, 2.996, 246.0
215, 3.010, 283.0
216, 3.024, 254.0
217, 3.038, 249.0
218, 3.052, 252.0
219, 3.066, 222.0
220, 3.080, 244.0
221, 3.094, 222.0
222, 3.108, 222.0
223, 3.122, 229.0
224, 3.136, 219.0
225, 3.150, 237.0
226, 3.164, 219.0
227, 3.178, 231.0
228, 3.192, 198.0
229, 3.206, 225.0
230, 3.220, 213.0
231, 3.234, 212.0
232, 3.248, 243.0
233, 3.262, 214.0
234, 3.276, 241.0
235, 3.290, 249.0
236, 3.304, 247.0
237, 3.318, 264.0
238, 3.332, 274.0
239, 3.346, 293.0
240, 3.360, 290.0
241, 3.374, 309.0
242, 3.388, 311.0
243, 3.402, 298.0
244, 3.416, 340.0
245, 3.430, 315.0
246, 3.444, 361.0
247, 3.458, 324.0
248, 3.472, 344.0
249, 3.486, 364.0
250, 3.500, 348.0
251, 3.514, 374.0
252, 3.528, 360.0
253, 3.542, 368.0
254, 3.556, 353.0
255, 3.570, 343.0
256, 3.584, 374.0
257, 3.598, 339.0
258, 3.612, 390.0
259, 3.626, 350.0
260, 3.640, 318.0
261, 3.654, 338.0
262, 3.668, 313.0
263, 3.682, 355.0
264, 3.696, 291.0
265, 3.710, 314.0
266, 3.724, 304.0
