t[s];dt[s];theta[deg];dtheta[deg]
0,1;0,1;19;1
0,3;0,1;12;1
0,6;0,1;-7;1
0,6;0,1;-14;1
1,2;0,1;-12;1
1,3;0,1;2;1
1,6;0,1;11;1
1,7;0,1;11;1
2,1;0,1;-1;1
2,3;0,1;-7;1
2,7;0,1;-9;1
2,8;0,1;-2;1
3,2;0,1;6;1
3,4;0,1;7;1
3,6;0,1;4;1
3,8;0,1;-1;1
4,2;0,1;-6;1
4,2;0,1;-5;1
4,5;0,1;1;1
4,9;0,1;5;1
5,1;0,1;5;1
5,3;0,1;1;1
5,6;0,1;-4;1
6,0;0,1;-4;1
6,1;0,1;-0;1
6,6;0,1;3;1
6,8;0,1;3;1
7,0;0,1;3;1
7,2;0,1;0;1
7,3;0,1;-2;1
7,8;0,1;-3;1
8,0;0,1;-0;1
8,2;0,1;2;1
8,4;0,1;2;1
8,9;0,1;0;1
9,0;0,1;-1;1
9,0;0,1;0;1
9,5;0,1;-2;1
9,7;0,1;2;1
10,1;0,1;2;1
