V (V)	I (A)
4.594E-4	9.906E-7
1.061E-3	2.513E-6
2.306E-3	5.494E-6
3.557E-3	8.465E-6
4.175E-3	9.949E-6
5.414E-3	1.292E-5
6.044E-3	1.441E-5
7.283E-3	1.744E-5
8.333E-3	2.003E-5
8.964E-3	2.163E-5
1.020E-2	2.477E-5
1.081E-2	2.639E-5
1.207E-2	2.974E-5
1.329E-2	3.308E-5
1.394E-2	3.490E-5
1.514E-2	3.844E-5
1.574E-2	4.019E-5
1.700E-2	4.411E-5
1.814E-2	4.778E-5
1.875E-2	4.984E-5
2.000E-2	5.413E-5
2.060E-2	5.625E-5
2.182E-2	6.081E-5
2.303E-2	6.551E-5
2.365E-2	6.800E-5
2.488E-2	7.318E-5
2.546E-2	7.575E-5
2.666E-2	8.122E-5
4.130E-2	1.765E-4
3.013E-2	9.874E-5
3.133E-2	1.054E-4
3.312E-2	1.161E-4
3.446E-2	1.251E-4
3.610E-2	1.358E-4
3.777E-2	1.479E-4
3.954E-2	1.619E-4
4.121E-2	1.768E-4
4.246E-2	1.871E-4
4.418E-2	2.035E-4
4.591E-2	2.212E-4
4.804E-2	2.447E-4
4.840E-2	2.496E-4
5.516E-2	3.953E-4
6.332E-2	4.826E-4
6.527E-2	5.234E-4
6.682E-2	5.575E-4
6.775E-2	5.862E-4
6.956E-2	6.240E-4
7.087E-2	6.558E-4
7.228E-2	6.928E-4
8.457E-2	1.089E-3
5.646E-2	3.577E-4
5.557E-2	3.423E-4
5.419E-2	3.246E-4
5.254E-2	3.014E-4
5.142E-2	2.862E-4
7.863E-2	7.750E-4
5.141E-2	2.861E-4
6.171E-2	4.509E-4
6.012E-2	4.215E-4
9.072E-2	1.333E-3
9.084E-2	1.347E-3
9.296E-2	1.440E-3
9.414E-2	1.495E-3
9.541E-2	1.613E-3
1.064E-1	2.152E-3
1.073E-1	2.213E-3
1.088E-1	2.314E-3
1.102E-1	2.397E-3
1.120E-1	2.513E-3
1.142E-1	2.663E-3
1.237E-1	3.388E-3
1.217E-1	3.221E-3
1.171E-1	2.872E-3
1.351E-1	4.416E-3
1.326E-1	4.173E-3
1.264E-1	3.614E-3
1.350E-1	4.414E-3
1.366E-1	4.576E-3
1.382E-1	4.734E-3
1.000E-1	1.790E-3
7.721E-2	8.356E-4
7.964E-2	9.193E-4
1.026E-1	1.943E-3
1.274E-1	3.701E-3
1.360E-1	4.512E-3
1.396E-1	4.887E-3
1.469E-1	5.713E-3
1.396E-1	4.887E-3
1.414E-1	5.083E-3
1.429E-1	5.249E-3
1.511E-1	6.223E-3
1.591E-1	7.280E-3
1.661E-1	8.301E-3
1.723E-1	9.243E-3
1.734E-1	9.425E-3
1.741E-1	9.540E-3
1.805E-1	1.058E-2
1.867E-1	1.163E-2
1.791E-1	1.035E-2
1.784E-1	1.023E-2
1.715E-1	9.128E-3
1.708E-1	9.013E-3
1.696E-1	8.822E-3
1.632E-1	7.862E-3
1.621E-1	7.709E-3
1.616E-1	7.639E-3
1.546E-1	6.677E-3
1.554E-1	6.784E-3
1.621E-1	7.715E-3
1.611E-1	7.572E-3
1.601E-1	7.427E-3
1.527E-1	6.433E-3
1.452E-1	5.511E-3
1.669E-1	8.413E-3
1.853E-1	1.139E-2
1.835E-1	1.108E-2
