V (V)	I (A)
4.296E-4	1.126E-6
1.886E-2	5.092E-5
4.672E-2	2.755E-4
6.328E-2	4.821E-4
7.766E-2	8.495E-4
1.263E-1	3.850E-3
1.291E-1	3.850E-3
1.656E-1	8.224E-3
1.723E-1	9.242E-3
2.017E-1	9.900E+37
1.949E-1	9.900E+37
1.871E-1	1.171E-2
1.925E-1	9.900E+37
1.896E-1	9.900E+37
1.882E-1	1.190E-2
2.201E-1	9.900E+37
2.222E-1	9.900E+37
2.291E-1	9.900E+37
2.309E-1	9.900E+37
3.874E-1	1.129E-2
3.297E-1	6.886E-3
2.145E-1	9.900E+37
2.173E-1	9.900E+37
2.297E-1	9.900E+37
3.426E-1	7.522E-3
3.426E-1	7.522E-3
3.582E-1	8.572E-3
3.674E-1	9.323E-3
3.761E-1	1.012E-2
3.926E-1	1.188E-2
3.995E-1	9.900E+37
4.001E-1	9.900E+37
4.021E-1	9.900E+37
4.039E-1	9.900E+37
4.047E-1	9.900E+37
4.055E-1	9.900E+37
4.066E-1	9.900E+37
4.074E-1	9.900E+37
4.081E-1	9.900E+37
4.095E-1	9.900E+37
4.104E-1	9.900E+37
4.115E-1	9.900E+37
4.129E-1	9.900E+37
4.138E-1	9.900E+37
4.148E-1	9.900E+37
4.158E-1	9.900E+37
4.170E-1	9.900E+37
4.179E-1	9.900E+37
4.188E-1	9.900E+37
4.198E-1	9.900E+37
4.215E-1	9.900E+37
4.228E-1	9.900E+37
4.241E-1	9.900E+37
4.253E-1	9.900E+37
4.316E-1	9.900E+37
4.329E-1	9.900E+37
4.348E-1	9.900E+37
4.373E-1	9.900E+37
4.447E-1	9.900E+37
4.505E-1	9.900E+37
4.567E-1	9.900E+37
4.672E-1	9.900E+37
4.688E-1	9.900E+37
5.018E-1	9.900E+37
5.072E-1	9.900E+37
5.178E-1	9.900E+37
5.410E-1	9.900E+37
5.475E-1	9.900E+37
5.546E-1	9.900E+37
5.635E-1	9.900E+37
5.871E-1	9.900E+37
5.954E-1	9.900E+37
6.070E-1	9.900E+37
6.250E-1	9.900E+37
6.360E-1	9.900E+37
6.564E-1	9.900E+37
6.674E-1	9.900E+37
7.009E-1	9.900E+37
7.119E-1	9.900E+37
7.120E-1	9.900E+37
7.121E-1	9.900E+37
