V (V)	I (A)
4.642E-4	5.375E-6
4.228E-3	1.407E-5
4.226E-3	1.427E-5
4.623E-3	1.522E-5
8.191E-3	2.538E-5
9.083E-3	2.612E-5
1.065E-2	3.059E-5
1.105E-2	3.152E-5
1.105E-2	3.039E-5
1.206E-2	3.541E-5
1.358E-2	3.800E-5
1.383E-2	3.895E-5
1.486E-2	4.200E-5
1.602E-2	4.622E-5
1.738E-2	4.953E-5
1.738E-2	4.920E-5
2.713E-2	1.022E-4
3.535E-2	1.335E-4
3.550E-2	1.344E-4
3.582E-2	1.369E-4
3.613E-2	1.390E-4
3.744E-2	1.481E-4
3.744E-2	1.484E-4
3.883E-2	1.600E-4
4.016E-2	1.717E-4
4.142E-2	1.819E-4
4.239E-2	1.881E-4
4.238E-2	1.874E-4
5.910E-2	4.081E-4
6.056E-2	4.292E-4
6.112E-2	4.380E-4
7.098E-2	7.635E-4
7.738E-2	8.353E-4
7.801E-2	8.542E-4
8.443E-2	1.228E-3
9.409E-2	1.479E-3
9.410E-2	1.485E-3
9.546E-2	1.548E-3
9.599E-2	1.570E-3
9.662E-2	1.613E-3
9.725E-2	1.638E-3
9.805E-2	1.687E-3
9.904E-2	1.724E-3
9.944E-2	1.753E-3
9.967E-2	1.764E-3
1.009E-1	1.824E-3
1.009E-1	1.823E-3
1.017E-1	1.872E-3
1.022E-1	1.891E-3
1.022E-1	1.900E-3
1.028E-1	1.928E-3
1.033E-1	1.964E-3
1.041E-1	1.998E-3
1.046E-1	2.047E-3
1.059E-1	2.108E-3
1.059E-1	2.109E-3
1.065E-1	2.157E-3
1.072E-1	2.184E-3
1.077E-1	2.222E-3
1.079E-1	2.243E-3
1.095E-1	2.330E-3
1.102E-1	2.391E-3
1.117E-1	2.488E-3
1.120E-1	2.501E-3
1.126E-1	2.534E-3
1.126E-1	2.535E-3
1.132E-1	2.589E-3
1.158E-1	2.751E-3
1.161E-1	2.788E-3
1.173E-1	2.866E-3
1.176E-1	2.886E-3
1.176E-1	2.889E-3
1.187E-1	2.982E-3
1.199E-1	3.057E-3
1.212E-1	3.177E-3
1.223E-1	3.254E-3
1.352E-1	4.584E-3
1.391E-1	4.794E-3
1.391E-1	4.794E-3
1.391E-1	4.793E-3
1.404E-1	4.964E-3
1.415E-1	5.060E-3
1.418E-1	5.090E-3
1.422E-1	5.128E-3
1.422E-1	5.135E-3
1.434E-1	5.265E-3
1.434E-1	5.266E-3
1.437E-1	5.310E-3
1.448E-1	5.455E-3
1.463E-1	5.621E-3
1.465E-1	5.623E-3
1.465E-1	5.623E-3
1.471E-1	5.714E-3
1.482E-1	5.825E-3
1.484E-1	5.858E-3
1.488E-1	5.900E-3
1.495E-1	6.008E-3
1.510E-1	6.203E-3
1.519E-1	6.285E-3
1.631E-1	8.328E-3
1.683E-1	8.606E-3
1.695E-1	8.765E-3
1.697E-1	8.813E-3
1.701E-1	8.861E-3
1.725E-1	9.245E-3
1.726E-1	9.248E-3
1.805E-1	1.111E-2
1.885E-1	1.193E-2
1.889E-1	1.197E-2
1.889E-1	1.197E-2
1.889E-1	1.197E-2
1.889E-1	1.197E-2
1.893E-1	1.207E-2
1.906E-1	1.229E-2
1.907E-1	1.229E-2
1.919E-1	1.250E-2
1.923E-1	1.260E-2
1.925E-1	1.261E-2
1.929E-1	1.270E-2
1.940E-1	1.288E-2
1.944E-1	1.294E-2
1.956E-1	1.315E-2
1.958E-1	1.321E-2
1.967E-1	1.335E-2
1.972E-1	1.347E-2
1.985E-1	1.368E-2
1.987E-1	1.371E-2
1.991E-1	1.379E-2
1.997E-1	1.393E-2
2.004E-1	1.400E-2
2.004E-1	1.404E-2
2.016E-1	1.422E-2
2.016E-1	1.422E-2
2.034E-1	1.454E-2
2.036E-1	1.459E-2
2.040E-1	1.465E-2
2.048E-1	1.482E-2
2.053E-1	1.488E-2
2.063E-1	1.505E-2
2.063E-1	1.505E-2
2.065E-1	1.509E-2
2.069E-1	1.515E-2
2.069E-1	1.516E-2
2.069E-1	1.516E-2
2.072E-1	1.524E-2
2.084E-1	1.542E-2
2.087E-1	1.547E-2
2.087E-1	1.549E-2
2.099E-1	1.568E-2
2.102E-1	1.576E-2
2.114E-1	1.593E-2
2.118E-1	1.599E-2
2.131E-1	1.619E-2
2.131E-1	1.619E-2
2.133E-1	1.625E-2
2.144E-1	1.646E-2
2.149E-1	1.650E-2
2.154E-1	1.658E-2
2.156E-1	1.662E-2
2.161E-1	1.668E-2
2.167E-1	1.682E-2
2.173E-1	1.688E-2
2.179E-1	1.696E-2
2.179E-1	1.696E-2
2.186E-1	1.709E-2
2.196E-1	1.723E-2
