V (V)	I (A)
3.612E-4	2.681E-6
3.910E-4	3.069E-6
1.737E-2	5.274E-6
2.049E-2	6.826E-6
2.239E-2	6.573E-6
3.807E-2	1.229E-5
3.925E-2	1.379E-5
4.328E-2	2.049E-5
5.621E-2	2.808E-5
5.930E-2	3.207E-5
6.118E-2	3.287E-5
7.817E-2	6.734E-5
9.569E-2	1.338E-4
1.113E-1	2.396E-4
1.132E-1	2.553E-4
1.293E-1	4.485E-4
1.312E-1	4.788E-4
1.330E-1	5.099E-4
1.493E-1	8.606E-4
1.512E-1	9.114E-4
1.531E-1	9.685E-4
1.698E-1	1.580E-3
1.729E-1	1.723E-3
1.748E-1	1.822E-3
1.767E-1	1.915E-3
1.784E-1	2.003E-3
1.802E-1	2.099E-3
1.821E-1	2.200E-3
1.849E-1	2.378E-3
1.866E-1	2.468E-3
1.892E-1	2.638E-3
1.915E-1	2.783E-3
1.947E-1	3.017E-3
1.977E-1	3.226E-3
2.007E-1	3.456E-3
2.014E-1	3.506E-3
2.014E-1	3.506E-3
2.019E-1	3.555E-3
2.044E-1	3.757E-3
2.058E-1	3.862E-3
2.064E-1	3.914E-3
2.077E-1	4.046E-3
2.093E-1	4.167E-3
2.100E-1	4.246E-3
2.105E-1	4.277E-3
2.117E-1	4.379E-3
2.140E-1	4.610E-3
2.152E-1	4.845E-3
2.305E-1	6.310E-3
2.315E-1	6.394E-3
2.327E-1	6.563E-3
2.333E-1	6.604E-3
2.334E-1	6.634E-3
2.346E-1	6.749E-3
2.352E-1	6.819E-3
2.352E-1	6.821E-3
2.365E-1	6.992E-3
2.374E-1	7.083E-3
2.382E-1	7.178E-3
2.394E-1	7.328E-3
2.394E-1	7.328E-3
2.394E-1	7.325E-3
2.396E-1	7.370E-3
2.407E-1	7.523E-3
2.412E-1	7.563E-3
2.419E-1	7.670E-3
2.431E-1	7.789E-3
2.436E-1	7.865E-3
2.443E-1	7.943E-3
2.447E-1	8.005E-3
2.450E-1	8.042E-3
2.462E-1	8.183E-3
2.464E-1	8.233E-3
2.468E-1	8.264E-3
2.477E-1	8.406E-3
2.479E-1	8.405E-3
2.479E-1	8.405E-3
2.484E-1	8.503E-3
2.494E-1	8.628E-3
2.506E-1	8.809E-3
2.510E-1	8.832E-3
2.528E-1	9.080E-3
2.534E-1	9.180E-3
2.540E-1	9.252E-3
2.545E-1	9.340E-3
2.548E-1	9.376E-3
2.559E-1	9.517E-3
2.562E-1	9.576E-3
2.573E-1	9.753E-3
2.577E-1	9.773E-3
2.577E-1	9.772E-3
2.576E-1	9.885E-3
2.728E-1	1.231E-2
