V (V)	I (A)
4.001E-4	1.070E-5
3.545E-3	6.028E-5
3.548E-3	6.066E-5
4.146E-3	7.133E-5
7.987E-3	1.337E-4
8.926E-3	1.501E-4
1.029E-2	1.690E-4
1.033E-2	1.687E-4
1.543E-2	2.520E-4
1.845E-2	2.977E-4
1.896E-2	3.100E-4
2.150E-2	3.500E-4
3.929E-2	6.356E-4
4.073E-2	6.549E-4
4.387E-2	7.070E-4
4.565E-2	7.325E-4
4.603E-2	7.370E-4
4.730E-2	7.580E-4
4.954E-2	7.960E-4
5.028E-2	8.050E-4
5.136E-2	8.276E-4
5.256E-2	8.429E-4
5.281E-2	8.468E-4
5.417E-2	8.702E-4
5.724E-2	9.159E-4
5.779E-2	9.260E-4
5.827E-2	9.345E-4
5.959E-2	9.557E-4
6.190E-2	9.923E-4
6.458E-2	1.035E-3
6.603E-2	1.055E-3
6.790E-2	1.086E-3
6.837E-2	1.094E-3
7.030E-2	1.123E-3
7.228E-2	1.157E-3
7.284E-2	1.164E-3
7.544E-2	1.207E-3
7.601E-2	1.215E-3
8.738E-2	1.451E-3
9.299E-2	1.490E-3
9.408E-2	1.502E-3
9.408E-2	1.502E-3
9.598E-2	1.533E-3
9.597E-2	1.532E-3
9.597E-2	1.533E-3
9.696E-2	1.553E-3
9.787E-2	1.562E-3
9.905E-2	1.581E-3
9.905E-2	1.582E-3
1.012E-1	1.619E-3
1.025E-1	1.639E-3
1.028E-1	1.641E-3
1.047E-1	1.672E-3
1.055E-1	1.689E-3
1.073E-1	1.711E-3
1.075E-1	1.718E-3
1.087E-1	1.737E-3
1.090E-1	1.741E-3
1.109E-1	1.769E-3
1.109E-1	1.769E-3
1.128E-1	1.800E-3
1.131E-1	1.808E-3
1.140E-1	1.820E-3
1.144E-1	1.828E-3
1.147E-1	1.830E-3
1.147E-1	1.830E-3
1.150E-1	1.838E-3
1.166E-1	1.863E-3
1.176E-1	1.879E-3
1.178E-1	1.883E-3
1.191E-1	1.902E-3
1.196E-1	1.909E-3
1.201E-1	1.921E-3
1.209E-1	1.929E-3
1.222E-1	1.952E-3
1.241E-1	1.979E-3
1.244E-1	1.986E-3
1.247E-1	1.992E-3
1.261E-1	2.015E-3
