V (V)	I (A)
4.417E-4	7.483E-6
4.665E-2	7.578E-4
8.216E-2	1.333E-3
1.332E-1	2.158E-3
1.633E-1	2.643E-3
2.030E-1	3.324E-3
2.537E-1	4.098E-3
2.974E-1	4.802E-3
3.802E-1	6.125E-3
3.630E-1	5.849E-3
4.474E-1	7.202E-3
4.663E-1	7.505E-3
4.844E-1	7.798E-3
5.659E-1	9.062E-3
5.334E-1	8.536E-3
6.271E-1	1.005E-2
6.090E-1	9.792E-3
6.841E-1	1.100E-2
6.993E-1	1.124E-2
7.144E-1	1.148E-2
7.430E-1	1.194E-2
7.613E-1	9.900E+37
7.463E-1	1.199E-2
7.474E-1	9.900E+37
7.715E-1	9.900E+37
7.861E-1	9.900E+37
8.016E-1	9.900E+37
8.163E-1	9.900E+37
8.453E-1	9.900E+37
4.233E-1	6.802E-3
3.372E-1	5.425E-3
2.113E-1	3.409E-3
2.963E-2	4.782E-4
1.386E-2	2.250E-4
9.687E-4	1.595E-5
8.764E-2	1.422E-3
2.177E-1	3.512E-3
5.961E-1	9.572E-3
6.672E-1	1.071E-2
